imdb_id,name,imdb_rating,meta_score,votes,genres,runtime,certificate,revenue,budget,release_date,language
tt4560008,This Beautiful Fantastic,6.9,51,7384,"Comedy, Drama, Fantasy",100,PG,353808,0,2018-02-19,English
tt0376479,American Pastoral,6.1,43,13569,"Crime, Drama",108,R,2063436,0,2016-10-21,English
tt2693580,Miss Stevens,6.6,65,4188,"Comedy, Drama",86,Not Rated,138535,0,2016-09-20,English
tt3387542,The Forest,4.8,34,37386,"Horror, Mystery, Thriller",93,PG-13,37608299,10000000,2016-01-08,English
tt4981636,Middle School: The Worst Years of My Life,6.1,51,6825,"Comedy, Family",92,PG,23316139,8500000,2016-10-07,English
tt2980210,A Hologram for the King,6.1,58,37316,"Comedy, Drama, Romance",98,R,9169507,30000000,2016-04-28,English
tt4667094,Fifty Shades of Black,3.5,28,17915,Comedy,92,R,22227514,5000000,2016-01-29,English
tt4257926,Miracles from Heaven,7.1,44,18494,"Biography, Drama, Family",109,PG,73883359,13000000,2016-03-16,English
tt2702724,The Boss,5.4,40,40311,Comedy,99,R,78844582,29000000,2016-04-08,English
tt4669986,Loving,7,79,29000,"Biography, Drama, Romance",123,PG-13,12957265,9000000,2016-11-04,English
tt1798603,Bad Santa 2,5.6,38,20604,"Comedy, Crime, Drama",92,R,24079268,26000000,2016-11-23,English
tt3760922,My Big Fat Greek Wedding 2,6,37,26554,"Comedy, Romance",94,PG-13,88923251,18000000,2016-03-25,English
tt3451230,High Strung,6.4,48,7689,"Drama, Music, Romance",96,PG,2093725,0,2016-04-08,English
tt1472584,Max Steel,4.6,22,17297,"Action, Adventure, Family",92,PG-13,6272403,10000000,2016-10-14,English
tt4645330,Denial,6.7,63,17245,"Biography, Drama",109,PG-13,7994527,10000000,2016-10-21,English
tt5173032,Buster's Mal Heart,6.1,63,6375,"Drama, Mystery, Thriller",96,Unrated,73121,0,2017-05-23,English
tt3714720,The Hollars,6.5,53,10535,"Comedy, Drama, Romance",88,PG-13,1138609,3800000,2016-08-26,English
tt1878841,The Darkness,4.4,27,12796,"Horror, Thriller",92,PG-13,10898293,4000000,2016-05-13,English
tt1967614,The Comedian,5.7,40,6206,"Comedy, Drama",120,R,1659002,15000000,2017-02-03,English
tt1620935,Bleed for This,6.8,62,22751,"Biography, Drama, Sport",117,R,6698679,6000000,2016-11-18,English
tt5325452,Boo! A Madea Halloween,4.6,30,7178,"Comedy, Drama, Horror",103,PG-13,74827344,20000000,2016-10-21,English
tt4649416,Almost Christmas,6.1,55,5355,"Comedy, Drama",111,PG-13,42580920,17000000,2016-11-11,English
tt5129682,King Cobra,5.6,48,7331,"Comedy, Crime, Drama",91,Not Rated,81757,0,2016-10-21,English
tt1183374,Pet,5.7,48,14468,"Horror, Thriller",94,R,22003,0,2016-12-02,English
tt3553442,Whiskey Tango Foxtrot,6.6,57,47052,"Biography, Comedy, Drama",112,R,24972139,35000000,2016-03-04,English
tt4196450,The Birth of a Nation,6.4,69,18858,"Biography, Drama, History",120,R,16779212,8500000,2016-10-07,English
tt3216348,Incarnate,5.2,30,10617,"Horror, Thriller",91,PG-13,6341855,5000000,2016-12-02,English
tt1703957,Genius,6.6,56,16236,"Biography, Drama",104,PG-13,5681622,0,2016-06-10,English
tt1974420,Rules Don't Apply,5.7,60,8272,"Comedy, Drama, Romance",127,PG-13,3885342,25000000,2016-11-23,English
tt2238032,Jue di tao wang,5.7,50,17643,"Action, Adventure, Comedy",107,PG-13,136579287,32000000,2016-09-02,Mandarin
tt2720826,Birth of the Dragon,5.4,35,6395,"Action, Biography, Drama",95,PG-13,7215027,31000000,2017-08-25,English
tt4468634,Certain Women,6.3,82,10678,Drama,107,R,1526698,0,2017-02-22,English
tt3231054,Risen,6.3,51,23279,"Action, Drama, History",107,PG-13,46069568,20000000,2016-02-19,English
tt4778988,LBJ,6.5,54,4838,"Biography, Drama, History",98,R,2510151,26000000,2017-11-03,English
tt4437216,Goat,5.7,64,6980,Drama,96,R,23020,0,2016-09-23,English
tt2726552,A Kind of Murder,5.3,50,6158,"Crime, Drama, Thriller",95,R,91149,0,2016-12-16,English
tt5225338,The Eyes of My Mother,6.2,63,10077,"Drama, Horror",76,R,29539,0,2016-12-02,English
tt3608930,In a Valley of Violence,6,64,13873,"Action, Western",104,R,61797,0,2016-10-21,English
tt4341582,Queen of Katwe,7.4,73,13621,"Biography, Drama, Sport",124,PG,10367161,15000000,2016-09-30,English
tt2978102,Term Life,5.5,23,6161,"Crime, Drama, Thriller",93,R,243793,16500000,2016-04-29,English
tt2436682,The Duel,5.8,42,8825,"Drama, Western",110,R,20672,10000000,2016-06-24,English
tt4381236,The Greasy Strangler,5.7,58,5674,"Comedy, Horror",93,Unrated,67427,0,2016-10-07,English
tt4666726,Christine,6.9,72,11777,"Biography, Drama",119,R,313465,0,2016-10-14,English
tt5912454,Blue Jay,7.3,69,11270,"Drama, Romance",80,Unrated,21626,0,2016-10-11,English
tt3666024,La tortue rouge,7.5,86,26616,"Animation, Fantasy",80,PG,6591789,0,2017-01-20,None
tt5195412,Wakefield,6.3,62,13884,Drama,106,R,798214,0,2017-05-19,English
tt5595168,Kingsglaive: Final Fantasy XV,6.8,35,18882,"Animation, Action, Adventure",110,PG-13,5725482,0,2016-07-09,English
tt2126235,Collide,5.7,33,13832,"Action, Crime, Thriller",99,PG-13,4811525,21500000,2017-02-24,English
tt3628584,Barbershop: The Next Cut,5.9,67,13571,"Comedy, Drama",111,PG-13,55030051,20000000,2016-04-15,English
tt4191580,Meet the Blacks,4.9,26,35049,"Comedy, Horror",94,R,9097072,900000,2016-04-01,English
tt4158876,Other People,6.7,67,8085,"Comedy, Drama",97,Unrated,91441,0,2016-09-09,English
tt2989524,Carrie Pilby,6.6,52,5651,"Comedy, Drama",98,Not Rated,28430,0,2017-04-04,English
tt3387266,A United Kingdom,6.8,65,12698,"Biography, Drama, Romance",111,PG-13,13819139,14000000,2017-02-10,Tswana
tt1389139,When the Bough Breaks,5.1,28,5060,"Crime, Drama, Horror",107,PG-13,30658387,10000000,2016-09-09,English
tt2364897,The Disappointments Room,3.9,31,8442,"Drama, Horror, Thriller",85,R,5745040,15000000,2016-09-09,English
tt2869728,Ride Along 2,5.9,32,50145,"Action, Comedy, Crime",102,PG-13,124605297,40000000,2016-01-15,English
tt4193394,Indignation,6.7,78,10805,"Drama, Romance",110,R,3924527,0,2016-08-11,English
tt2093991,Elvis & Nixon,6.4,59,12255,"Comedy, History",86,R,1798432,0,2016-04-21,English
tt4872078,The Intervention,6.1,57,5369,"Comedy, Drama",90,R,32919,0,2016-08-26,English
tt1610525,Chuck,6.5,68,4924,"Biography, Drama, Sport",98,R,502518,0,2017-05-05,English
tt4972062,Don't Think Twice,6.7,83,15717,"Comedy, Drama",92,R,4417667,0,2016-07-22,English
tt4392770,Always Shine,5.6,72,3574,"Drama, Horror, Mystery",85,Unrated,17102,0,2016-11-25,English
tt2112096,Absolutely Fabulous: The Movie,5.4,59,11200,"Comedy, Crime",91,R,37915971,0,2016-07-22,English
tt2392830,A Quiet Passion,6.4,77,4757,"Biography, Drama",125,PG-13,4159246,7590000.000000001,2017-04-07,English
tt4950110,I'm Not Ashamed,5.8,31,2925,"Biography, Drama",112,PG-13,2082980,1500000,2018-03-02,English
tt0995868,Pelé: Birth of a Legend,7.2,39,14594,"Biography, Drama, Sport",107,PG,7846608,0,2016-05-13,English
tt1594972,Norm of the North,3.4,21,8157,"Animation, Adventure, Comedy",90,PG,30734502,7000000,2016-01-15,English
tt4824308,God's Not Dead 2,4.3,22,10631,Drama,120,PG,24487848,5000000,2016-04-01,English
tt2395339,Mothers and Daughters,5,29,2631,Drama,90,PG-13,28368,0,2016-05-06,English
tt4305148,Lovesong,6.3,74,3493,"Drama, Romance",84,Not Rated,10626,0,2017-02-17,English
tt4144190,Wiener-Dog,5.9,66,8648,"Comedy, Drama",88,R,734729,0,2016-07-21,English
tt3702652,The Other Side of the Door,5.3,41,16250,Horror,96,R,14332467,0,2016-03-04,English
tt4439102,Officer Downe,4.1,26,1702,"Action, Comedy, Sci-Fi",88,R,850,0,2016-11-18,English
tt4446472,Porto,6.1,48,1478,"Drama, Romance",76,R,107062,0,2017-04-21,English
tt4871980,The Perfect Match,4.9,41,3140,"Comedy, Romance",96,R,10414738,5000000,2016-03-11,English
tt2822672,Rock Dog,5.9,48,4194,"Animation, Adventure, Comedy",90,PG,23157646,60000000,2017-02-24,English
tt4978274,Priceless,6.1,41,3197,"Crime, Drama, Romance",97,PG-13,1499605,0,2016-10-14,English
tt4191702,Norman,6.1,75,5284,"Drama, Thriller",118,R,6217567,0,2017-04-14,English
tt2950418,Greater,7.2,35,3580,"Biography, Family, Sport",130,PG,2000093,9000000,2016-08-26,English
tt4573516,Sleight,5.9,62,7306,"Action, Drama, Sci-Fi",89,R,3989705,250000,2017-04-28,English
tt4919484,Little Men,6.7,86,6307,Drama,85,PG,2008649,2000000,2017-05-04,English
tt4698584,Neruda,6.9,82,8336,"Biography, Crime, Drama",107,R,3884746,0,2016-08-11,Spanish
tt1366338,Lowriders,5.7,57,2011,"Adventure, Crime, Drama",98,PG-13,6312033,5000000,2017-05-12,English
tt1002563,The Young Messiah,5.6,33,2942,"Drama, Fantasy",111,PG-13,7330338,18500000,2016-03-11,English
tt4429194,Paris Can Wait,5.8,48,6792,"Comedy, Drama, Romance",92,PG,13203541,5000000,2017-07-07,English
tt4254584,Kicks,6.4,69,3870,"Adventure, Drama",80,R,150191,2000000,2016-09-09,English
tt2865120,Ratchet & Clank,5.6,29,9239,"Animation, Action, Adventure",94,PG,13385737,20000000,2016-04-29,English
tt4532818,Sophie and the Rising Sun,6.5,55,1027,Drama,105,R,34630,0,2016-01-22,English
tt3914332,Dean,6.2,58,1745,"Comedy, Drama, Romance",94,PG-13,254536,0,2017-06-02,English
tt3958780,Equity,5.5,68,3238,Drama,100,R,1672306,0,2016-07-29,English
tt4258698,Southside with You,6.4,74,7454,"Biography, Drama, History",84,PG-13,6512004,1500000,2016-08-26,English
tt3776826,Operation Avalanche,6.1,69,6175,"Drama, Mystery, Thriller",94,R,31585,1250000,2016-09-16,English
